"Country","Pluralism","FunctioningOfGovernment","PoliticalParticipation","PoliticalCulture"
"Guinea-Bissau",4.92,0,2.78,3.13
"Bahrain",0.83,2.71,2.78,4.38
"Belarus",0.92,2,2.78,4.38
"Iran",0,2.86,4.44,3.13
"Eritrea",0,2.14,1.67,6.88
"China",0,4.29,3.33,2.5
"Burundi",0,0.07,3.33,5
"Laos",0,2.86,1.67,5
"Libya",0,0,2.78,4.38
"Uzbekistan",0.08,1.86,2.22,5
"Yemen",0,0,3.89,5
"Saudi Arabia",0,2.86,2.22,3.13
"Tajikistan",0.08,0.79,1.67,6.25
"Equatorial Guinea",0,0.43,3.33,4.38
"Turkmenistan",0,0.79,2.22,5
"Chad",0,0,1.67,3.75
"Syria",0,0,2.78,4.38
"Central African Republic",1.25,0,1.11,1.88
"Democratic Republic of the Congo",0,0,1.67,3.13
"North Korea",0,2.5,1.67,1.25
